sampling_name,normalize type,Model,F1-Score,ROC,best_estimator
RandomOversampling,Standard,Random Forest,0.998727686644965,0.9987290116896917,RandomForestClassifier(min_samples_split=5)
RandomOversampling,origin,Random Forest,0.9987149373638345,0.9987162592986185,RandomForestClassifier(min_samples_split=5)
RandomOversampling,Standard,XGBoost,0.9983453497522279,0.998346439957492,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.5, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=9, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=200, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)"
RandomOversampling,origin,XGBoost,0.9983453497522279,0.998346439957492,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.5, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=9, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=200, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)"
SMOTE,origin,XGBoost,0.9981891082316748,0.9981912437214394,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.3, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=9, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=200, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)"
SMOTE,Standard,XGBoost,0.9980789790902624,0.998080989015466,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.3, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=9, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=200, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)"
SMOTE,origin,Random Forest,0.9980704437127559,0.9980724677164792,RandomForestClassifier(n_estimators=200)
SMOTE,Standard,Random Forest,0.9976887814387443,0.9976902999355071,RandomForestClassifier(n_estimators=200)
SMOTE,origin,LightGBM,0.997555741027781,0.9975578552598596,"LGBMClassifier(learning_rate=0.3, max_depth=5)"
SMOTE,Standard,LightGBM,0.9971305717569926,0.9971325489506292,"LGBMClassifier(learning_rate=0.3, max_depth=5)"
RandomOversampling,Standard,LightGBM,0.9856414099692559,0.9856503711387932,"LGBMClassifier(learning_rate=0.3, max_depth=5, n_estimators=200)"
RandomOversampling,origin,LightGBM,0.9856414099692559,0.9856503711387932,"LGBMClassifier(learning_rate=0.3, max_depth=5, n_estimators=200)"
RandomUndersampling,Standard,LightGBM,0.9794238683127573,0.9791283152614519,"LGBMClassifier(learning_rate=0.3, max_depth=5)"
RandomUndersampling,origin,LightGBM,0.9794238683127573,0.9791283152614519,"LGBMClassifier(learning_rate=0.3, max_depth=5)"
RandomUndersampling,origin,XGBoost,0.9785495403472931,0.9780308843253295,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=3, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=200, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)"
RandomUndersampling,Standard,XGBoost,0.9785495403472931,0.9780308843253295,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.1, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=3, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=200, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)"
RandomUndersampling,origin,Random Forest,0.9775662814411965,0.9769758941373412,RandomForestClassifier(min_samples_split=5)
RandomUndersampling,Standard,Random Forest,0.9761580381471391,0.9756028394789626,RandomForestClassifier(min_samples_split=5)
Original,Standard,Random Forest,0.839924670433145,0.8929134875842407,"RandomForestClassifier(min_samples_split=5, n_estimators=200)"
Original,Standard,XGBoost,0.8380097268986157,0.8946224648394593,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.3, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=3, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=200, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)"
Original,origin,XGBoost,0.8380097268986157,0.8946224648394593,"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, device=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, feature_types=None,
              gamma=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=0.3, max_bin=None,
              max_cat_threshold=None, max_cat_to_onehot=None,
              max_delta_step=None, max_depth=3, max_leaves=None,
              min_child_weight=None, missing=nan, monotone_constraints=None,
              multi_strategy=None, n_estimators=200, n_jobs=None,
              num_parallel_tree=None, random_state=None, ...)"
Original,origin,Random Forest,0.8376647834274953,0.8918421484773482,RandomForestClassifier(min_samples_split=5)
Original,Standard,LightGBM,0.8287671232876712,0.8837434305422428,"LGBMClassifier(max_depth=5, n_estimators=200)"
Original,origin,LightGBM,0.8287671232876712,0.8837434305422428,"LGBMClassifier(max_depth=5, n_estimators=200)"
